,HUNDRED_BLOCK,HUNDRED_BLOCK_GEOCODED
3205,12300 90TH AVE ,"[-122.8807455, 49.1668181]"
3206,12300 90TH AVE     ,"[-122.8807455, 49.1668181]"
3207,12300 91A AVE,"[-122.880875, 49.1693942]"
3208,12300 91A AVE ,"[-122.880875, 49.1693942]"
3209,12300 91A AVE     ,"[-122.880875, 49.1693942]"
3210,12300 91ST AVE,"[-122.8803118, 49.1686174]"
3211,12300 91ST AVE ,"[-122.8803118, 49.1686174]"
3212,12300 91ST AVE     ,"[-122.8803118, 49.1686174]"
3213,12300 92A AVE,"[-122.8814205, 49.1712898]"
3214,12300 92A AVE ,"[-122.8814205, 49.1712898]"
3215,12300 92A AVE     ,"[-122.8814205, 49.1712898]"
3216,12300 92ND AVE,"[-122.8818086, 49.1701159]"
3217,12300 92ND AVE ,"[-122.8818086, 49.1701159]"
3218,12300 92ND AVE     ,"[-122.8818086, 49.1701159]"
3219,12300 93A AVE,"[-122.8846933, 49.1729552]"
3220,12300 93A AVE ,"[-122.8846933, 49.1729552]"
3221,12300 93RD AVE,"[-122.8814193, 49.1721426]"
3222,12300 93RD AVE ,"[-122.8814193, 49.1721426]"
3223,12300 93RD AVE     ,"[-122.8814193, 49.1721426]"
3224,12300 94A AVE,"[-122.8822713, 49.1744694]"
3225,12300 94A AVE ,"[-122.8822713, 49.1744694]"
3226,12300 94A AVE     ,"[-122.8822713, 49.1744694]"
3227,12300 95A AVE,"[-122.8818826, 49.1762285]"
3228,12300 95A AVE ,"[-122.8818826, 49.1762285]"
3229,12300 95TH AVE,"[-122.8816362, 49.1754491]"
3230,12300 95TH AVE ,"[-122.8816362, 49.1754491]"
3231,12300 96TH AVE,"[-122.8816495, 49.1770721]"
3232,12300 96TH AVE ,"[-122.8816495, 49.1770721]"
3233,12300 96TH AVE     ,"[-122.8816495, 49.1770721]"
3234,12300 97TH AVE ,"[-122.8819105, 49.1788161]"
3235,12300 98TH AVE,"[-122.8804863, 49.1806768]"
3236,12300 98TH AVE ,"[-122.8804863, 49.1806768]"
3237,12300 98TH AVE     ,"[-122.8804863, 49.1806768]"
3238,12300 99A AVE,"[-122.8818582, 49.1834135]"
3239,12300 99A AVE ,"[-122.8818582, 49.1834135]"
3240,12300 99TH AVE,"[-122.881732, 49.1825389]"
3241,12300 99TH AVE ,"[-122.881732, 49.1825389]"
3242,12300 99TH AVE     ,"[-122.881732, 49.1825389]"
3243,12300 BEECHER ST,"[-122.8810944, 49.052963]"
3244,12300 BEECHER ST ,"[-122.8810944, 49.052963]"
3245,12300 BEECHER ST     ,"[-122.8810944, 49.052963]"
3246,12300 BLOCK 112A AVE,"[-122.8814175, 49.2072155]"
3247,12300 BLOCK 90TH AVE,"[-122.8807455, 49.1668181]"
3248,12300 BLOCK PATTULLO PL,"[-122.8801349, 49.2041127]"
3249,12300 BLOCK SEACREST DR    ,"[-122.8815105, 49.0478954]"
3250,12300 BLOCK SOUTHPARK CRES,"[-122.8830504, 49.1120669]"
3251,12300 BOUNDARY CLS ,"[-122.880206, 49.1133519]"
3252,12300 BOUNDARY DR N,"[-122.8820361, 49.1174051]"
3253,12300 BOUNDARY DR N    ,"[-122.8820361, 49.1174051]"
3254,12300 BOUNDARY DR S,"[-122.8821949, 49.1105247]"
3255,12300 BOUNDARY DR S    ,"[-122.8821949, 49.1105247]"
3256,12300 CEDAR DR,"[-122.8813313, 49.0487309]"
3257,12300 CEDAR DR ,"[-122.8813313, 49.0487309]"
3258,12300 COLEBROOK RD ,"[-122.8261804, 49.0967904]"
3259,12300 GILLEY ST ,"[-122.8809616, 49.0565327]"
3260,12300 HAVEN PL,"[-122.8805248, 49.043488]"
3261,12300 HAVEN PL ,"[-122.8805248, 49.043488]"
3262,12300 HAVEN PL     ,"[-122.8805248, 49.043488]"
3263,12300 INDUSTRIAL RD,"[-122.8785403, 49.2117171]"
3264,12300 INDUSTRIAL RD ,"[-122.8785403, 49.2117171]"
3265,12300 INDUSTRIAL RD     ,"[-122.8785403, 49.2117171]"
3266,12300 IONA PL,"[-122.8814192, 49.1738444]"
3267,12300 IONA PL ,"[-122.8814192, 49.1738444]"
3268,12300 IONA PL     ,"[-122.8814192, 49.1738444]"
3269,12300 KING GEORGE BLVD,"[-122.8968593, 49.2085329]"
3270,12300 KING GEORGE BLVD    ,"[-122.8968593, 49.2085329]"
3271,12300 MUSQUEAM DR,"[-122.8832415, 49.210768]"
3272,12300 MUSQUEAM DR ,"[-122.8832415, 49.210768]"
3273,12300 NEW MCLELLAN RD,"[-122.8820597, 49.103443]"
3274,12300 NORTHPARK CRES,"[-122.8825165, 49.1151687]"
3275,12300 NORTHPARK CRES ,"[-122.8825165, 49.1151687]"
3276,12300 NORTHPARK CRES     ,"[-122.8825165, 49.1151687]"
3277,12300 OLD YALE RD,"[-122.8813774, 49.198412]"
3278,12300 OLD YALE RD    ,"[-122.8813774, 49.198412]"
3279,12300 PARKTREE CRES,"[-122.8828062, 49.1161853]"
3280,12300 PARKTREE CRES ,"[-122.8828062, 49.1161853]"
3281,12300 PARKTREE CRES     ,"[-122.8828062, 49.1161853]"
3282,12300 PATTULLO PL,"[-122.8801349, 49.2041127]"
3283,12300 PATTULLO PL ,"[-122.8801349, 49.2041127]"
3284,12300 PATTULLO PL     ,"[-122.8801349, 49.2041127]"
3285,12300 SEACREST DR,"[-122.8815105, 49.0478954]"
3286,12300 SEACREST DR ,"[-122.8815105, 49.0478954]"
3287,12300 SEACREST DR     ,"[-122.8815105, 49.0478954]"
3288,12300 SOUTHPARK CRES,"[-122.8830504, 49.1120669]"
3289,12300 SOUTHPARK CRES ,"[-122.8830504, 49.1120669]"
3290,12300 SOUTHPARK CRES     ,"[-122.8830504, 49.1120669]"
3291,12300 SULLIVAN ST,"[-122.8812692, 49.0540418]"
3292,12300 SULLIVAN ST ,"[-122.8812692, 49.0540418]"
3293,12300 WINRAM RD,"[-122.8806113, 49.1992574]"
3294,12300 WINRAM RD ,"[-122.8806113, 49.1992574]"
3295,12300 WINRAM RD     ,"[-122.8806113, 49.1992574]"
3296,123A ST / 100A AVE,"[-122.8808942, 49.185725]"
3297,123A ST / 100TH AVE,"[-122.8808757, 49.1844271]"
3298,123A ST / 66TH AVE,"[-122.8803161, 49.1229246]"
3299,123A ST / 75TH AVE,"[-122.8803172, 49.1393155]"
3300,123A ST / 78TH AVE,"[-122.8804602, 49.1446835]"
3301,123A ST / 80TH AVE,"[-122.880497, 49.1484248]"
3302,123A ST / 92ND AVE,"[-122.8803938, 49.1702541]"
3303,123A ST / 93A AVE,"[-122.8805284, 49.172989]"
3304,123A ST / 96TH AVE,"[-122.8805081, 49.1771329]"
3305,123A ST / 98TH AVE,"[-122.8804859, 49.1807128]"
3306,123A ST / 99A AVE,"[-122.880499, 49.1834386]"
3307,123A ST / 99TH AVE,"[-122.880499, 49.1825809]"
3308,123A ST / IONA PL,"[-122.8804672, 49.1737981]"
3309,123RD ST / 68A AVE,"[-122.8818918, 49.1276818]"
3310,123RD ST / 68TH AVE,"[-122.8818983, 49.1266656]"
3311,123RD ST / 70A AVE,"[-122.8819346, 49.1310089]"
3312,123RD ST / 71ST AVE,"[-122.8819189, 49.1319599]"
3313,123RD ST / 72A AVE,"[-122.8814084, 49.1348744]"
3314,123RD ST / 72ND AVE,"[-122.8819378, 49.1339869]"
3315,123RD ST / 75A AVE,"[-122.8815163, 49.1401324]"
3316,123RD ST / 77A AVE,"[-122.8820953, 49.1439443]"
3317,123RD ST / 82ND AVE,"[-122.881256, 49.152068]"
3318,123RD ST / 84TH AVE,"[-122.8824111, 49.1557956]"
3319,123RD ST / 86TH AVE,"[-122.8823437, 49.1595806]"
3320,123RD ST / 90TH AVE,"[-122.8821992, 49.1668475]"
3321,123RD ST / 96TH AVE,"[-122.8818728, 49.1771301]"
3322,123RD ST / 97TH AVE,"[-122.8819109, 49.1788521]"
3323,123RD ST / 98TH AVE,"[-122.8818912, 49.1807201]"
3324,123RD ST / 99TH AVE,"[-122.8818672, 49.1825692]"
3325,123RD ST / NEW MCLELLAN RD,"[-122.8820713, 49.1034735]"
3326,12400  80TH AVE,"[-122.8791062, 49.1483773]"
3327,12400 100TH AVE,"[-122.8786664, 49.1844258]"
3328,12400 100TH AVE ,"[-122.8786664, 49.1844258]"
3329,12400 100TH AVE     ,"[-122.8786664, 49.1844258]"
3330,12400 102ND AVE ,"[-122.8786094, 49.188117]"
3331,12400 102ND AVE     ,"[-122.8786094, 49.188117]"
3332,12400 103RD AVE,"[-122.8781899, 49.1899227]"
3333,12400 103RD AVE     ,"[-122.8781899, 49.1899227]"
3334,12400 104TH AVE,"[-122.8783726, 49.1917775]"
3335,12400 104TH AVE ,"[-122.8783726, 49.1917775]"
3336,12400 109TH AVE,"[-122.8786922, 49.2012078]"
3337,12400 109TH AVE ,"[-122.8786922, 49.2012078]"
3338,12400 110TH AVE,"[-122.8782364, 49.2028165]"
3339,12400 110TH AVE ,"[-122.8782364, 49.2028165]"
3340,12400 113B AVE,"[-122.8786053, 49.2088981]"
3341,12400 113B AVE ,"[-122.8786053, 49.2088981]"
3342,12400 113B AVE     ,"[-122.8786053, 49.2088981]"
3343,12400 113TH AVE,"[-122.8786189, 49.2079876]"
3344,12400 113TH AVE ,"[-122.8786189, 49.2079876]"
3345,12400 113TH AVE     ,"[-122.8786189, 49.2079876]"
3346,12400 114TH AVE,"[-122.878579, 49.2098046]"
3347,12400 114TH AVE ,"[-122.878579, 49.2098046]"
3348,12400 114TH AVE     ,"[-122.878579, 49.2098046]"
3349,12400 20TH AVE ,"[-122.8783994, 49.0392108]"
3350,12400 21A AVE,"[-122.8768883, 49.0413927]"
3351,12400 21A AVE ,"[-122.8768883, 49.0413927]"
3352,12400 22ND AVE,"[-122.8783894, 49.0425817]"
3353,12400 22ND AVE ,"[-122.8783894, 49.0425817]"
3354,12400 23A AVE,"[-122.8773528, 49.0449186]"
3355,12400 23A AVE ,"[-122.8773528, 49.0449186]"
3356,12400 23A AVE     ,"[-122.8773528, 49.0449186]"
3357,12400 23RD AVE ,"[-122.8783867, 49.0441434]"
3358,12400 24A AVE,"[-122.8764646, 49.0470466]"
3359,12400 24A AVE ,"[-122.8764646, 49.0470466]"
3360,12400 24A AVE     ,"[-122.8764646, 49.0470466]"
3361,12400 24TH AVE     ,"[-122.8783765, 49.0457509]"
3362,12400 25TH AVE ,"[-122.8783103, 49.048146]"
3363,12400 28TH AVE,"[-122.876348, 49.0530828]"
3364,12400 57A AVE,"[-122.8804731, 49.1073343]"
3365,12400 57A AVE ,"[-122.8804731, 49.1073343]"
3366,12400 57A AVE     ,"[-122.8804731, 49.1073343]"
3367,12400 57B AVE,"[-122.8799561, 49.1072012]"
3368,12400 58A AVE,"[-122.8791255, 49.1087004]"
3369,12400 58A AVE ,"[-122.8791255, 49.1087004]"
3370,12400 60A AVE,"[-122.8795462, 49.1129838]"
3371,12400 60A AVE ,"[-122.8795462, 49.1129838]"
3372,12400 60A AVE     ,"[-122.8795462, 49.1129838]"
3373,12400 60TH AVE,"[-122.8792026, 49.1117794]"
3374,12400 60TH AVE ,"[-122.8792026, 49.1117794]"
3375,12400 60TH AVE     ,"[-122.8792026, 49.1117794]"
3376,12400 61A AVE     ,"[-122.8779452, 49.1146151]"
3377,12400 61ST AVE ,"[-122.8779739, 49.1136423]"
3378,12400 62A AVE,"[-122.8790883, 49.1163913]"
3379,12400 62A AVE ,"[-122.8790883, 49.1163913]"
3380,12400 62A AVE     ,"[-122.8790883, 49.1163913]"
3381,12400 62ND AVE ,"[-122.877882, 49.1154864]"
3382,12400 63A AVE,"[-122.8770013, 49.1182721]"
3383,12400 63A AVE ,"[-122.8770013, 49.1182721]"
3384,12400 63RD AVE,"[-122.877812, 49.1172196]"
3385,12400 63RD AVE ,"[-122.877812, 49.1172196]"
3386,12400 63RD AVE     ,"[-122.877812, 49.1172196]"
3387,12400 64A AVE,"[-122.8790184, 49.1203072]"
3388,12400 64A AVE ,"[-122.8790184, 49.1203072]"
3389,12400 64A AVE     ,"[-122.8790184, 49.1203072]"
3390,12400 64TH AVE,"[-122.8790364, 49.1191498]"
3391,12400 64TH AVE ,"[-122.8790364, 49.1191498]"
3392,12400 66TH AVE,"[-122.878989, 49.1228788]"
3393,12400 66TH AVE ,"[-122.878989, 49.1228788]"
3394,12400 66TH AVE     ,"[-122.878989, 49.1228788]"
3395,12400 68A AVE,"[-122.8776928, 49.1274952]"
3396,12400 68A AVE ,"[-122.8776928, 49.1274952]"
3397,12400 68A AVE     ,"[-122.8776928, 49.1274952]"
3398,12400 68TH AVE,"[-122.8790111, 49.1266234]"
3399,12400 68TH AVE ,"[-122.8790111, 49.1266234]"
3400,12400 68TH AVE     ,"[-122.8790111, 49.1266234]"
3401,12400 69A AVE,"[-122.8767879, 49.1290683]"
3402,12400 69A AVE ,"[-122.8767879, 49.1290683]"
3403,12400 69TH AVE,"[-122.8790358, 49.1283082]"
3404,12400 69TH AVE ,"[-122.8790358, 49.1283082]"
3405,12400 69TH AVE     ,"[-122.8790358, 49.1283082]"
3406,12400 70A AVE,"[-122.8790845, 49.131094]"
3407,12400 70A AVE ,"[-122.8790845, 49.131094]"
3408,12400 70A AVE     ,"[-122.8790845, 49.131094]"
3409,12400 70TH AVE,"[-122.8787234, 49.1302865]"
3410,12400 70TH AVE ,"[-122.8787234, 49.1302865]"
3411,12400 70TH AVE     ,"[-122.8787234, 49.1302865]"
3412,12400 71A AVE,"[-122.8782915, 49.1326188]"
3413,12400 71A AVE ,"[-122.8782915, 49.1326188]"
3414,12400 71A AVE     ,"[-122.8782915, 49.1326188]"
3415,12400 72ND AVE,"[-122.8791118, 49.1338573]"
3416,12400 72ND AVE ,"[-122.8791118, 49.1338573]"
3417,12400 72ND AVE     ,"[-122.8791118, 49.1338573]"
3418,12400 73A AVE,"[-122.8790642, 49.1362589]"
3419,12400 73A AVE ,"[-122.8790642, 49.1362589]"
3420,12400 73A AVE     ,"[-122.8790642, 49.1362589]"
3421,12400 73RD AVE,"[-122.8775603, 49.1354188]"
3422,12400 73RD AVE ,"[-122.8775603, 49.1354188]"
3423,12400 73RD AVE     ,"[-122.8775603, 49.1354188]"
3424,12400 74A AVE,"[-122.8778443, 49.138434]"
3425,12400 74A AVE ,"[-122.8778443, 49.138434]"
3426,12400 74A AVE     ,"[-122.8778443, 49.138434]"
3427,12400 74TH AVE,"[-122.8790512, 49.1376173]"
3428,12400 74TH AVE ,"[-122.8790512, 49.1376173]"
3429,12400 74TH AVE     ,"[-122.8790512, 49.1376173]"
3430,12400 75A AVE,"[-122.8778616, 49.1400643]"
3431,12400 75A AVE ,"[-122.8778616, 49.1400643]"
3432,12400 75A AVE     ,"[-122.8778616, 49.1400643]"
3433,12400 75TH AVE,"[-122.8790343, 49.1392675]"
3434,12400 75TH AVE ,"[-122.8790343, 49.1392675]"
3435,12400 75TH AVE     ,"[-122.8790343, 49.1392675]"
3436,12400 76B AVE,"[-122.8776542, 49.1417606]"
3437,12400 76B AVE ,"[-122.8776542, 49.1417606]"
3438,12400 76TH AVE,"[-122.8790212, 49.1410305]"
3439,12400 76TH AVE ,"[-122.8790212, 49.1410305]"
3440,12400 76TH AVE     ,"[-122.8790212, 49.1410305]"
3441,12400 77A AVE,"[-122.8776763, 49.1439343]"
3442,12400 77A AVE ,"[-122.8776763, 49.1439343]"
3443,12400 78A AVE ,"[-122.8776107, 49.1455218]"
3444,12400 78TH AVE,"[-122.8790619, 49.1446532]"
3445,12400 78TH AVE ,"[-122.8790619, 49.1446532]"
3446,12400 78TH AVE     ,"[-122.8790619, 49.1446532]"
3447,12400 79A AVE ,"[-122.8776043, 49.1474453]"
3448,12400 79A AVE     ,"[-122.8776043, 49.1474453]"
3449,12400 79TH AVE,"[-122.8764099, 49.1466006]"
3450,12400 80TH AVE,"[-122.8791062, 49.1483773]"
3451,12400 80TH AVE ,"[-122.8791062, 49.1483773]"
3452,12400 80TH AVE     ,"[-122.8791062, 49.1483773]"
3453,12400 82ND AVE,"[-122.8791032, 49.1519903]"
3454,12400 82ND AVE ,"[-122.8791032, 49.1519903]"
3455,12400 82ND AVE     ,"[-122.8791032, 49.1519903]"
3456,12400 88TH AVE,"[-122.8790925, 49.1631672]"
3457,12400 88TH AVE ,"[-122.8790925, 49.1631672]"
3458,12400 88TH AVE     ,"[-122.8790925, 49.1631672]"
3459,12400 90A AVE,"[-122.8789411, 49.1675113]"
3460,12400 90A AVE ,"[-122.8789411, 49.1675113]"
3461,12400 90A AVE     ,"[-122.8789411, 49.1675113]"
3462,12400 90TH AVE,"[-122.8792288, 49.1668159]"
3463,12400 90TH AVE ,"[-122.8792288, 49.1668159]"
3464,12400 90TH AVE     ,"[-122.8792288, 49.1668159]"
3465,12400 91A AVE,"[-122.8792742, 49.1693234]"
3466,12400 91A AVE ,"[-122.8792742, 49.1693234]"
3467,12400 91ST AVE,"[-122.8792492, 49.1684019]"
3468,12400 91ST AVE ,"[-122.8792492, 49.1684019]"
3469,12400 91ST AVE     ,"[-122.8792492, 49.1684019]"
3470,12400 92ND AVE,"[-122.8792566, 49.1701771]"
3471,12400 92ND AVE ,"[-122.8792566, 49.1701771]"
3472,12400 92ND AVE     ,"[-122.8792566, 49.1701771]"
3473,12400 93A AVE ,"[-122.8792663, 49.1725055]"
3474,12400 93A AVE     ,"[-122.8792663, 49.1725055]"
3475,12400 93RD AVE ,"[-122.8790113, 49.1717101]"
3476,12400 93RD AVE     ,"[-122.8790113, 49.1717101]"
3477,12400 94TH AVE,"[-122.8779464, 49.1735205]"
3478,12400 94TH AVE ,"[-122.8779464, 49.1735205]"
3479,12400 94TH AVE     ,"[-122.8779464, 49.1735205]"
3480,12400 95A AVE,"[-122.8777841, 49.1762356]"
3481,12400 95A AVE ,"[-122.8777841, 49.1762356]"
3482,12400 96A AVE,"[-122.8786383, 49.1779722]"
3483,12400 96A AVE ,"[-122.8786383, 49.1779722]"
3484,12400 96A AVE     ,"[-122.8786383, 49.1779722]"
3485,12400 96TH AVE,"[-122.879286, 49.1770778]"
3486,12400 96TH AVE ,"[-122.879286, 49.1770778]"
3487,12400 96TH AVE     ,"[-122.879286, 49.1770778]"
3488,12400 97B AVE,"[-122.8776976, 49.1801482]"
3489,12400 97B AVE ,"[-122.8776976, 49.1801482]"
3490,12400 97B AVE     ,"[-122.8776976, 49.1801482]"
3491,12400 97TH AVE,"[-122.8781789, 49.1793584]"
3492,12400 97TH AVE ,"[-122.8781789, 49.1793584]"
3493,12400 99A AVE,"[-122.8807975, 49.1834103]"
3494,12400 99A AVE ,"[-122.8807975, 49.1834103]"
3495,12400 99A AVE     ,"[-122.8807975, 49.1834103]"
3496,12400 99TH AVE,"[-122.8786216, 49.1825274]"
3497,12400 99TH AVE ,"[-122.8786216, 49.1825274]"
3498,12400 99TH AVE     ,"[-122.8786216, 49.1825274]"
3499,12400 BLOCK 110TH AVE    ,"[-122.8782364, 49.2028165]"
3500,12400 BLOCK 116TH AVE,"[-122.8785454, 49.2117151]"
3501,12400 BLOCK 25TH AVE    ,"[-122.8783103, 49.048146]"
3502,12400 BLOCK 58TH AVE,"[-122.5523312, 49.107685]"
3503,12400 BLOCK 82ND AVE,"[-122.8791032, 49.1519903]"
3504,12400 BLOCK 88TH AVE,"[-122.8790925, 49.1631672]"
3505,12400 CRESCENT RD,"[-122.8766278, 49.0539299]"
3506,12400 KING GEORGE BLVD,"[-122.8802288, 49.2059262]"
3507,12400 KING GEORGE BLVD    ,"[-122.8802288, 49.2059262]"
3508,12400 OCEAN BREEZE PL,"[-122.8783899, 49.0406294]"
3509,12400 OCEAN BREEZE PL    ,"[-122.8783899, 49.0406294]"
3510,12400 OCEAN TIDE CRT,"[-122.8771768, 49.038387]"
3511,12400 OLD YALE RD,"[-122.8787327, 49.1974985]"
3512,12400 OLD YALE RD    ,"[-122.8787327, 49.1974985]"
3513,12400 PARK DR,"[-122.8763377, 49.1871962]"
3514,12400 PARK DR ,"[-122.8763377, 49.1871962]"
3515,12400 PARK DR     ,"[-122.8763377, 49.1871962]"
3516,12400 PINEWOOD CRES,"[-122.8776277, 49.1817049]"
3517,12400 PINEWOOD CRES ,"[-122.8776277, 49.1817049]"
3518,12400 PINEWOOD CRES     ,"[-122.8776277, 49.1817049]"
3519,124A ST / 66TH AVE,"[-122.8774784, 49.1228953]"
3520,124A ST / 75TH AVE,"[-122.8771812, 49.1392651]"
3521,124A ST / 79A AVE,"[-122.8776027, 49.1474813]"
3522,124A ST / 88TH AVE,"[-122.8774306, 49.1631098]"
3523,124A ST / 92ND AVE,"[-122.8778722, 49.1701711]"
3524,124A ST / 94TH AVE,"[-122.8779465, 49.1735565]"
3525,124A ST / 96A AVE,"[-122.8776048, 49.1780714]"
3526,124A ST / 99TH AVE,"[-122.8775893, 49.1825083]"
3527,124B ST / 27TH AVE,"[-122.8763851, 49.0517316]"
3528,124TH ST / 100TH AVE,"[-122.8786722, 49.184457]"
3529,124TH ST / 110TH AVE,"[-122.8783946, 49.2029241]"
3530,124TH ST / 111TH AVE,"[-122.8790139, 49.2054493]"
3531,124TH ST / 112TH AVE,"[-122.8786326, 49.2063663]"
3532,124TH ST / 114TH AVE,"[-122.8785788, 49.2098406]"
3533,124TH ST / 22ND AVE,"[-122.8783988, 49.0426172]"
3534,124TH ST / 58A AVE,"[-122.8791243, 49.1087297]"
3535,124TH ST / 58TH AVE,"[-122.8791235, 49.108271]"
3536,124TH ST / 60TH AVE,"[-122.8792025, 49.1118109]"
3537,124TH ST / 64A AVE,"[-122.8790167, 49.1203432]"
3538,124TH ST / 64TH AVE,"[-122.8790353, 49.1192895]"
3539,124TH ST / 65TH AVE,"[-122.8790067, 49.121043]"
3540,124TH ST / 66TH AVE,"[-122.8789883, 49.1229103]"
3541,124TH ST / 68TH AVE,"[-122.8790112, 49.1266549]"
3542,124TH ST / 69A AVE,"[-122.8790478, 49.1291104]"
3543,124TH ST / 70A AVE,"[-122.8790768, 49.1311296]"
3544,124TH ST / 70TH AVE,"[-122.8790654, 49.13034]"
3545,124TH ST / 71A AVE,"[-122.8791015, 49.1326613]"
3546,124TH ST / 72A AVE,"[-122.879103, 49.1348238]"
3547,124TH ST / 72ND AVE,"[-122.8791124, 49.1343771]"
3548,124TH ST / 73A AVE,"[-122.8790633, 49.1362949]"
3549,124TH ST / 73RD AVE,"[-122.8790956, 49.1356498]"
3550,124TH ST / 74TH AVE,"[-122.8790502, 49.1376533]"
3551,124TH ST / 75TH AVE,"[-122.879033, 49.139299]"
3552,124TH ST / 76TH AVE,"[-122.8790213, 49.1410665]"
3553,124TH ST / 77A AVE,"[-122.8790695, 49.1439026]"
3554,124TH ST / 78TH AVE,"[-122.879066, 49.1446891]"
3555,124TH ST / 80A AVE,"[-122.8791041, 49.1492079]"
3556,124TH ST / 80TH AVE,"[-122.8791042, 49.1484087]"
3557,124TH ST / 81A AVE,"[-122.8791036, 49.1512172]"
3558,124TH ST / 82A AVE,"[-122.8791016, 49.1531255]"
3559,124TH ST / 82ND AVE,"[-122.8791017, 49.1520218]"
3560,124TH ST / 83A AVE,"[-122.8791005, 49.1546329]"
3561,124TH ST / 84TH AVE,"[-122.8791196, 49.1557164]"
3562,124TH ST / 88TH AVE,"[-122.8790831, 49.1632253]"
3563,124TH ST / 90TH AVE,"[-122.8792195, 49.1668513]"
3564,124TH ST / 92ND AVE,"[-122.8792546, 49.1702085]"
3565,124TH ST / 93RD AVE,"[-122.8792611, 49.1717467]"
3566,124TH ST / 94A AVE,"[-122.8792868, 49.1746306]"
3567,124TH ST / 95A AVE,"[-122.8792863, 49.1762731]"
3568,124TH ST / 95TH AVE,"[-122.879279, 49.1755026]"
3569,124TH ST / 96TH AVE,"[-122.8792873, 49.1771363]"
3570,124TH ST / 99TH AVE,"[-122.8788019, 49.1825678]"
3571,124TH ST / IONA PL,"[-122.8792718, 49.1737724]"
3572,124TH ST / LIEN RD,"[-122.8787171, 49.1993909]"
3573,124TH ST / OLD YALE RD,"[-122.8787187, 49.1975287]"
3574,124TH ST / SCOTT RD,"[-122.8789309, 49.2022333]"
3575,124TH ST / WINRAM RD,"[-122.8787163, 49.19828]"
3576,124TH ST OFRP / HWY 17,"[-122.8793357, 49.211133]"
3577,12500  104TH AVE,"[-122.8739673, 49.1917193]"
3578,12500  110TH AVE,"[-122.8759307, 49.2025968]"
3579,12500  113TH AVE,"[-122.8757458, 49.2079865]"
3580,12500  58TH AVE,"[-122.5523425, 49.107685]"
3581,12500  64TH AVE,"[-122.8761704, 49.1191211]"
3582,12500  68TH AVE,"[-122.8762208, 49.1266117]"
3583,12500  72ND AVE,"[-122.8762427, 49.1338236]"
3584,12500  75TH AVE,"[-122.8762292, 49.1392298]"
3585,12500  96TH AVE,"[-122.8764155, 49.1771044]"
3586,12500  CRESCENT RD,"[-122.8757323, 49.0541122]"
3587,12500 100TH AVE,"[-122.8753158, 49.1844651]"
3588,12500 100TH AVE ,"[-122.8753158, 49.1844651]"
3589,12500 100TH AVE     ,"[-122.8753158, 49.1844651]"
3590,12500 102ND AVE ,"[-122.8758421, 49.1880446]"
3591,12500 102ND AVE     ,"[-122.8758421, 49.1880446]"
3592,12500 103RD AVE,"[-122.8760137, 49.1898975]"
3593,12500 103RD AVE ,"[-122.8760137, 49.1898975]"
3594,12500 104TH AVE,"[-122.8739673, 49.1917193]"
3595,12500 104TH AVE ,"[-122.8739673, 49.1917193]"
3596,12500 104TH AVE     ,"[-122.8739673, 49.1917193]"
3597,12500 106A AVE,"[-122.8750897, 49.1962077]"
3598,12500 106TH AVE ,"[-122.8750934, 49.1953735]"
3599,12500 110TH AVE,"[-122.8759307, 49.2025968]"
3600,12500 110TH AVE ,"[-122.8759307, 49.2025968]"
3601,12500 110TH AVE     ,"[-122.8759307, 49.2025968]"
3602,12500 112A AVE,"[-122.8744446, 49.2070792]"
3603,12500 113B AVE,"[-122.8758049, 49.208904]"
3604,12500 113B AVE ,"[-122.8758049, 49.208904]"
3605,12500 113TH AVE,"[-122.8757458, 49.2079865]"
3606,12500 113TH AVE ,"[-122.8757458, 49.2079865]"
3607,12500 113TH AVE     ,"[-122.8757458, 49.2079865]"
3608,12500 114TH AVE,"[-122.875871, 49.2098007]"
3609,12500 114TH AVE ,"[-122.875871, 49.2098007]"
3610,12500 114TH AVE     ,"[-122.875871, 49.2098007]"
3611,12500 115B AVE,"[-122.8708524, 49.2125374]"
3612,12500 115B AVE ,"[-122.8708524, 49.2125374]"
3613,12500 115TH AVE,"[-122.8744485, 49.2116129]"
3614,12500 115TH AVE     ,"[-122.8744485, 49.2116129]"
3615,12500 116TH AVE,"[-122.8760856, 49.2125596]"
3616,12500 116TH AVE ,"[-122.8760856, 49.2125596]"
3617,12500 116TH AVE     ,"[-122.8760856, 49.2125596]"
3618,12500 15A AVE ,"[-122.8732604, 49.0305689]"
3619,12500 18TH AVE,"[-122.8753382, 49.0348023]"
3620,12500 18TH AVE ,"[-122.8753382, 49.0348023]"
3621,12500 18TH AVE     ,"[-122.8753382, 49.0348023]"
3622,12500 19TH AVE ,"[-122.8756741, 49.0367958]"
3623,12500 19TH AVE     ,"[-122.8756741, 49.0367958]"
3624,12500 20TH AVE,"[-122.8757302, 49.0385926]"
3625,12500 21A AVE,"[-122.8757544, 49.0413887]"
3626,12500 21A AVE ,"[-122.8757544, 49.0413887]"
3627,12500 21A AVE     ,"[-122.8757544, 49.0413887]"
3628,12500 22ND AVE,"[-122.8757104, 49.0425764]"
3629,12500 22ND AVE ,"[-122.8757104, 49.0425764]"
3630,12500 22ND AVE     ,"[-122.8757104, 49.0425764]"
3631,12500 23RD AVE,"[-122.875703, 49.0441129]"
3632,12500 23RD AVE ,"[-122.875703, 49.0441129]"
