,HUNDRED_BLOCK,HUNDRED_BLOCK_GEOCODED
105,10000 141ST ST     ,"[-122.8313422, 49.185018]"
106,10000 142ND ST,"[-122.8285915, 49.1851618]"
107,10000 142ND ST ,"[-122.8285915, 49.1851618]"
108,10000 143A ST,"[-122.8243577, 49.1842484]"
109,10000 143A ST ,"[-122.8243577, 49.1842484]"
110,10000 143A ST     ,"[-122.8243577, 49.1842484]"
111,10000 143RD ST,"[-122.8258602, 49.1842413]"
112,10000 143RD ST ,"[-122.8258602, 49.1842413]"
113,10000 144TH ST,"[-122.8230356, 49.1842665]"
114,10000 144TH ST ,"[-122.8230356, 49.1842665]"
115,10000 144TH ST     ,"[-122.8230356, 49.1842665]"
116,10000 148TH ST,"[-122.8120295, 49.1842019]"
117,10000 148TH ST ,"[-122.8120295, 49.1842019]"
118,10000 148TH ST     ,"[-122.8120295, 49.1842019]"
119,10000 150TH ST,"[-122.806414, 49.1849762]"
120,10000 150TH ST ,"[-122.806414, 49.1849762]"
121,10000 150TH ST     ,"[-122.806414, 49.1849762]"
122,10000 152ND ST,"[-122.8007916, 49.1841953]"
123,10000 152ND ST ,"[-122.8007916, 49.1841953]"
124,10000 152ND ST     ,"[-122.8007916, 49.1841953]"
125,10000 153RD ST,"[-122.7980739, 49.180592]"
126,10000 153RD ST ,"[-122.7980739, 49.180592]"
127,10000 153RD ST     ,"[-122.7980739, 49.180592]"
128,10000 154TH ST,"[-122.7953783, 49.1854347]"
129,10000 154TH ST ,"[-122.7953783, 49.1854347]"
130,10000 154TH ST     ,"[-122.7953783, 49.1854347]"
131,10000 155TH ST,"[-122.7925293, 49.1843233]"
132,10000 155TH ST ,"[-122.7925293, 49.1843233]"
133,10000 155TH ST     ,"[-122.7925293, 49.1843233]"
134,10000 156A ST,"[-122.7883641, 49.1843516]"
135,10000 156A ST ,"[-122.7883641, 49.1843516]"
136,10000 156A ST     ,"[-122.7883641, 49.1843516]"
137,10000 156B ST,"[-122.7880547, 49.1854537]"
138,10000 156B ST ,"[-122.7880547, 49.1854537]"
139,10000 156B ST     ,"[-122.7880547, 49.1854537]"
140,10000 156TH ST,"[-122.7898176, 49.1843601]"
141,10000 156TH ST ,"[-122.7898176, 49.1843601]"
142,10000 156TH ST     ,"[-122.7898176, 49.1843601]"
143,10000 157A ST,"[-122.7853453, 49.1848921]"
144,10000 157A ST     ,"[-122.7853453, 49.1848921]"
145,10000 157TH ST,"[-122.7871851, 49.184876]"
146,10000 157TH ST ,"[-122.7871851, 49.184876]"
147,10000 158A ST,"[-122.7827933, 49.1848818]"
148,10000 158A ST ,"[-122.7827933, 49.1848818]"
149,10000 158A ST     ,"[-122.7827933, 49.1848818]"
150,10000 158TH ST ,"[-122.7841503, 49.1843507]"
151,10000 158TH ST     ,"[-122.7841503, 49.1843507]"
152,10000 159A ST,"[-122.7799244, 49.1843464]"
153,10000 159A ST ,"[-122.7799244, 49.1843464]"
154,10000 160TH ST,"[-122.7786005, 49.1843665]"
155,10000 160TH ST ,"[-122.7786005, 49.1843665]"
156,10000 160TH ST     ,"[-122.7786005, 49.1843665]"
157,10000 161ST ST,"[-122.7751509, 49.1843275]"
158,10000 171A ST,"[-122.7469218, 49.1857961]"
159,10000 171A ST ,"[-122.7469218, 49.1857961]"
160,10000 171A ST     ,"[-122.7469218, 49.1857961]"
161,10000 172ND ST,"[-122.7454203, 49.1847094]"
162,10000 172ND ST ,"[-122.7454203, 49.1847094]"
163,10000 173RD ST ,"[-122.7426005, 49.1842905]"
164,10000 176TH ST,"[-122.7343931, 49.1840435]"
165,10000 176TH ST ,"[-122.7343931, 49.1840435]"
166,10000 176TH ST     ,"[-122.7343931, 49.1840435]"
167,10000 177A ST ,"[-122.7310885, 49.1853225]"
168,10000 178TH ST,"[-122.7299841, 49.1858441]"
169,10000 178TH ST     ,"[-122.7299841, 49.1858441]"
170,10000 179TH ST,"[-122.7256673, 49.1833977]"
171,10000 179TH ST ,"[-122.7256673, 49.1833977]"
172,10000 179TH ST     ,"[-122.7256673, 49.1833977]"
173,10000 181ST ST,"[-122.7218733, 49.1841522]"
174,10000 BLOCK SCOTT RD,"[-122.890477, 49.1840556]"
175,10000 GRACE RD,"[-122.899022, 49.1859065]"
176,10000 GRACE RD ,"[-122.899022, 49.1859065]"
177,10000 GRACE RD     ,"[-122.899022, 49.1859065]"
178,10000 HELEN DR,"[-122.8722339, 49.1845062]"
179,10000 HELEN DR ,"[-122.8722339, 49.1845062]"
180,10000 HELEN DR     ,"[-122.8722339, 49.1845062]"
181,10000 KING GEORGE BLVD,"[-122.8452907, 49.1842699]"
182,10000 KING GEORGE BLVD    ,"[-122.8452907, 49.1842699]"
183,10000 MARY DR ,"[-122.8714336, 49.1855231]"
184,10000 PARK DR,"[-124.1712344, 48.8137732]"
185,10000 PARK DR ,"[-124.1712344, 48.8137732]"
186,10000 PARK DR     ,"[-124.1712344, 48.8137732]"
187,10000 SCOTT RD,"[-122.890477, 49.1840556]"
188,10000 SCOTT RD ,"[-122.890477, 49.1840556]"
189,10000 SCOTT RD     ,"[-122.890477, 49.1840556]"
190,10000 SEMIAHMOO RD,"[-122.8602239, 49.1844133]"
191,10000 SEMIAHMOO RD ,"[-122.8602239, 49.1844133]"
192,10000 SEMIAHMOO RD     ,"[-122.8602239, 49.1844133]"
193,10000 WHALLEY BLVD,"[-122.8431776, 49.1842805]"
194,10000 WHALLEY BLVD ,"[-122.8431776, 49.1842805]"
195,10000 WHALLEY BLVD     ,"[-122.8431776, 49.1842805]"
196,100A AVE / 120TH ST,"[-122.8900925, 49.185645]"
197,100A AVE / 121ST ST,"[-122.8870989, 49.185655]"
198,100A AVE / 132A ST,"[-122.8552519, 49.1852596]"
199,100A AVE / 132ND ST,"[-122.8565444, 49.185355]"
200,100A AVE / 133RD ST,"[-122.8540407, 49.1852594]"
201,100A AVE / 140TH ST,"[-122.8342077, 49.1853954]"
202,100A AVE / 141ST ST,"[-122.8313942, 49.1853983]"
203,100A AVE / 142ND ST,"[-122.8286463, 49.1851615]"
204,100TH AVE / 120TH ST,"[-122.89013, 49.1843875]"
205,100TH AVE / 121ST ST,"[-122.8873576, 49.1844128]"
206,100TH AVE / 122ND ST,"[-122.8846202, 49.1844075]"
207,100TH AVE / 123A ST,"[-122.8808757, 49.1844271]"
208,100TH AVE / 127A ST,"[-122.8704475, 49.1844615]"
209,100TH AVE / 127B ST,"[-122.8690766, 49.1844505]"
210,100TH AVE / 127TH ST,"[-122.8714819, 49.1844799]"
211,100TH AVE / 128A ST,"[-122.8660297, 49.1844385]"
212,100TH AVE / 128TH ST,"[-122.8676861, 49.1844461]"
213,100TH AVE / 129TH ST,"[-122.86462, 49.1844326]"
214,100TH AVE / 130TH ST,"[-122.8620971, 49.1844186]"
215,100TH AVE / 132A ST,"[-122.855291, 49.1843778]"
216,100TH AVE / 132ND ST,"[-122.8565409, 49.1843935]"
217,100TH AVE / 134TH ST,"[-122.8517039, 49.1840567]"
218,100TH AVE / 137A ST,"[-122.84174, 49.1843011]"
219,100TH AVE / 138TH ST,"[-122.8395095, 49.1842834]"
220,100TH AVE / 140TH ST,"[-122.8342116, 49.1842711]"
221,100TH AVE / 141ST ST,"[-122.8314094, 49.1841688]"
222,100TH AVE / 143RD ST,"[-122.825915, 49.1842413]"
223,100TH AVE / 144TH ST,"[-122.8230904, 49.1842662]"
224,100TH AVE / 147TH ST,"[-120.8728953, 56.2457536]"
225,100TH AVE / 148TH ST,"[-122.8120774, 49.1842021]"
226,100TH AVE / 150TH ST,"[-122.8065304, 49.1842206]"
227,100TH AVE / 151ST ST,"[-122.8039129, 49.1841853]"
228,100TH AVE / 152ND ST,"[-122.8010358, 49.1841945]"
229,100TH AVE / 153RD ST,"[-122.7981704, 49.184213]"
230,100TH AVE / 154TH ST,"[-122.7954095, 49.1842678]"
231,100TH AVE / 155TH ST,"[-122.7925841, 49.1843234]"
232,100TH AVE / 156TH ST,"[-122.7898655, 49.1843604]"
233,100TH AVE / 158TH ST,"[-122.7842051, 49.184351]"
234,100TH AVE / 159A ST,"[-122.7799792, 49.1843464]"
235,100TH AVE / 160TH ST,"[-122.7786485, 49.184367]"
236,100TH AVE / 173RD ST,"[-122.7426553, 49.1842908]"
237,100TH AVE / 176TH ST,"[-122.7345658, 49.1847986]"
238,100TH AVE / KING GEORGE BLVD,"[-122.8455481, 49.1842767]"
239,100TH AVE / MALL ACCESS,"[-120.847574, 56.2376421]"
240,100TH AVE / OLD YALE RD,"[-122.8471595, 49.184423]"
241,100TH AVE / PARK DR,"[-122.873903, 49.1844988]"
242,100TH AVE / SCOTT RD,"[-122.89013, 49.1843875]"
243,100TH AVE / SEMIAHMOO RD,"[-122.8602766, 49.1844232]"
244,100TH AVE / WHALLEY BLVD,"[-122.8432256, 49.1842807]"
245,10100  132ND ST,"[-122.8564593, 49.1863999]"
246,10100  139TH ST,"[-122.8371293, 49.1860429]"
247,10100  150TH ST,"[-122.806369, 49.1866302]"
248,10100  152ND ST,"[-122.800812, 49.1861506]"
249,10100  155TH ST,"[-122.7925249, 49.1864135]"
250,10100  160TH ST,"[-122.778554, 49.1862567]"
251,10100  SCOTT RD,"[-130.3480803, 54.2927013]"
252,10100  WHALLEY BLVD,"[-122.843163, 49.1861104]"
253,10100 120TH ST ,"[-122.8900031, 49.1864286]"
254,10100 121A ST,"[-122.8859462, 49.1863136]"
255,10100 121A ST ,"[-122.8859462, 49.1863136]"
256,10100 121A ST     ,"[-122.8859462, 49.1863136]"
257,10100 121ST ST,"[-122.8870397, 49.1862986]"
258,10100 121ST ST ,"[-122.8870397, 49.1862986]"
259,10100 122ND ST,"[-122.8839869, 49.1868979]"
260,10100 122ND ST ,"[-122.8839869, 49.1868979]"
261,10100 122ND ST     ,"[-122.8839869, 49.1868979]"
262,10100 127A ST,"[-122.8698935, 49.1862025]"
263,10100 127A ST ,"[-122.8698935, 49.1862025]"
264,10100 127B ST,"[-122.8686864, 49.1863944]"
265,10100 127B ST ,"[-122.8686864, 49.1863944]"
266,10100 127TH ST,"[-122.871366, 49.1862049]"
267,10100 127TH ST ,"[-122.871366, 49.1862049]"
268,10100 127TH ST     ,"[-122.871366, 49.1862049]"
269,10100 128A ST,"[-122.8660077, 49.1862595]"
270,10100 128A ST ,"[-122.8660077, 49.1862595]"
271,10100 128A ST     ,"[-122.8660077, 49.1862595]"
272,10100 128TH ST,"[-122.8676475, 49.1862614]"
273,10100 128TH ST ,"[-122.8676475, 49.1862614]"
274,10100 128TH ST     ,"[-122.8676475, 49.1862614]"
275,10100 129A ST,"[-122.8631417, 49.1864196]"
276,10100 129A ST ,"[-122.8631417, 49.1864196]"
277,10100 129A ST     ,"[-122.8631417, 49.1864196]"
278,10100 129TH ST,"[-122.8645591, 49.1862023]"
279,10100 129TH ST ,"[-122.8645591, 49.1862023]"
