INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,FILE_NUMBER
Fatal/Injury Collision,12000 NEW MCLELLAN RD,1,2017,17-51
Fatal/Injury Collision,6100 192ND ST,1,2017,17-139
Fatal/Injury Collision,2800 BLOCK CROYDON DR,1,2017,17-141
Fatal/Injury Collision,179TH ST / 96TH AVE,1,2017,17-151
Fatal/Injury Collision,179TH ST / 96TH AVE,1,2017,17-151
Fatal/Injury Collision,128TH ST / 96TH AVE,1,2017,17-166
Fatal/Injury Collision,189TH ST / 88TH AVE,1,2017,17-185
Fatal/Injury Collision,176TH ST / 8TH AVE,1,2017,17-226
Fatal/Injury Collision,10200 152ND ST,1,2017,17-2787
Fatal/Injury Collision,8900 BLOCK 132ND ST,1,2017,17-338
Fatal/Injury Collision,8900 BLOCK 132ND ST,1,2017,17-338
Fatal/Injury Collision,190TH ST / 72ND AVE,1,2017,17-388
Fatal/Injury Collision,132ND ST / 76TH AVE,1,2017,17-431
Shoplifting,12400 80TH AVE,1,2017,17-341
Theft from Motor Vehicle,6400 180TH ST,1,2017,17-689
Theft from Motor Vehicle,5600 SUNRISE CRES W,1,2017,17-940
Theft from Motor Vehicle,17100 65TH AVE,1,2017,17-1800
Theft from Motor Vehicle,141ST ST / 109TH AVE,1,2017,17-6338
Theft from Motor Vehicle,2800 192ND ST,1,2017,17-11868
Theft from Motor Vehicle,12700 61A AVE,1,2017,17-13592
Theft from Motor Vehicle,15700 104TH AVE,1,2017,17-190
Theft from Motor Vehicle,12400 70TH AVE,1,2017,17-199
Theft from Motor Vehicle,12900 73RD AVE,1,2017,17-1439
Theft from Motor Vehicle,5600 SUNRISE CRES E,1,2017,17-245
Theft from Motor Vehicle,3200 136TH ST,1,2017,17-1569
Theft from Motor Vehicle,13200 105TH AVE,1,2017,17-393
Theft from Motor Vehicle,8100 121A ST,1,2017,17-434
Theft from Motor Vehicle,10900 130TH ST,1,2017,17-207
Theft from Motor Vehicle,7100 121ST ST,1,2017,17-300003
Theft from Motor Vehicle,12300 PATTULLO PL,1,2017,17-533
Theft from Motor Vehicle,5700 177B ST,1,2017,17-556
Theft from Motor Vehicle,13300 OLD YALE RD,1,2017,17-351
Theft from Motor Vehicle,6000 175A ST,1,2017,17-977
Theft from Motor Vehicle,9800 LYNCEAN DR,1,2017,17-571
Theft from Motor Vehicle,10900 144A ST,1,2017,17-676
Theft from Motor Vehicle,15100 70A AVE,1,2017,17-497
Theft from Motor Vehicle,17900 57A AVE,1,2017,17-918
Theft from Motor Vehicle,13000 66B AVE,1,2017,17-3586
Theft from Motor Vehicle,17100 62ND AVE,1,2017,17-300002
Theft from Motor Vehicle,10100 122ND ST,1,2017,17-561
Theft of Motor Vehicle,12700 61A AVE,1,2017,17-143
Theft of Motor Vehicle,6700 BLOCK KING GEORGE BLVD,1,2017,17-169
Theft of Motor Vehicle,18800 59A AVE,1,2017,17-200
Theft of Motor Vehicle,152ND ST / 40TH AVE,1,2017,17-225
Theft of Motor Vehicle,10500 153RD ST,1,2017,17-268
Break and Enter - Business,12100 86TH AVE,1,2017,17-444
Break and Enter - Residence,9900 151ST ST,1,2017,17-933
Break and Enter - Business,7400 135TH ST,1,2017,17-100
Break and Enter - Business,18000 96TH AVE,1,2017,17-138
Break and Enter - Business,8600 130TH ST,1,2017,17-170
Break and Enter - Residence,15000 ROBIN CRES,1,2017,17-194
Break and Enter - Residence,3200 137A ST,1,2017,17-221
Break and Enter - Residence,6700 134TH ST,1,2017,17-273
Break and Enter - Residence,6000 180TH ST,1,2017,17-537
Break and Enter - Residence,14900 KEW DR,1,2017,17-280
Break and Enter - Residence,11000 152ND ST,1,2017,17-335
Break and Enter - Business,19100 95A AVE,1,2017,17-741
Break and Enter - Residence,10500 170A ST,1,2017,17-405
Theft from Motor Vehicle,108TH AVE / KING GEORGE BLVD,1,2017,17-26838
Break and Enter - Business,10600 SCOTT RD,1,2017,17-21873
Fatal/Injury Collision,10500 BLOCK LINCOLN DR,1,2017,17-494
Fatal/Injury Collision,10500 BLOCK LINCOLN DR,1,2017,17-494
Fatal/Injury Collision,2300 KING GEORGE BLVD,1,2017,17-563
Fatal/Injury Collision,58TH AVE / PANORAMA DR,1,2017,17-540
Fatal/Injury Collision,56TH AVE / 176TH ST,1,2017,17-562
Fatal/Injury Collision,140TH ST / 60A AVE,1,2017,17-581
Fatal/Injury Collision,13400 81ST AVE,1,2017,17-584
Fatal/Injury Collision,168TH ST / 56TH AVE,1,2017,17-592
Fatal/Injury Collision,8800 150TH ST,1,2017,17-617
Fatal/Injury Collision,156TH ST / 18TH AVE,1,2017,17-620
Fatal/Injury Collision,FRASER HWY / 184TH ST,1,2017,17-623
Fatal/Injury Collision,FRASER HWY / 156TH ST,1,2017,17-688
Fatal/Injury Collision,6800 150TH ST,1,2017,17-692
Fatal/Injury Collision,8200 150A ST,1,2017,17-706
Fatal/Injury Collision,140TH ST / FRASER HWY,1,2017,17-718
Fatal/Injury Collision,15900 BLOCK FRASER HWY,1,2017,17-776
Shoplifting,7500 KING GEORGE BLVD,1,2017,17-566
Shoplifting,10300 152ND ST,1,2017,17-649
Shoplifting,12700 110TH AVE,1,2017,17-679
Shoplifting,7500 KING GEORGE BLVD,1,2017,17-720
Shoplifting,14600 104TH AVE,1,2017,17-750
Theft from Motor Vehicle,17200 57TH AVE,1,2017,17-853
Theft from Motor Vehicle,15000 99A AVE,1,2017,17-906
Theft from Motor Vehicle,6900 131ST ST,1,2017,17-3588
Theft from Motor Vehicle,12400 OLD YALE RD,1,2017,17-3602
Theft from Motor Vehicle,8200 122A ST,1,2017,17-476
Theft from Motor Vehicle,17400 56TH AVE,1,2017,17-899
Theft from Motor Vehicle,17400 56TH AVE,1,2017,17-535
Theft from Motor Vehicle,10900 130A ST,1,2017,17-589
Theft from Motor Vehicle,7100 121ST ST,1,2017,17-944
Theft from Motor Vehicle,10300 152ND ST,1,2017,17-1089
Theft from Motor Vehicle,7000 150TH ST,1,2017,17-648
Theft from Motor Vehicle,16200 23A AVE,1,2017,17-1087
Theft from Motor Vehicle,7100 121ST ST,1,2017,17-871
Theft from Motor Vehicle,14800 68TH AVE,1,2017,17-894
Theft from Motor Vehicle,13700 74TH AVE,1,2017,17-980
Theft from Motor Vehicle,13300 102A AVE,1,2017,17-924
Theft from Motor Vehicle,13700 74TH AVE,1,2017,17-969
Theft from Motor Vehicle,10200 133RD ST,1,2017,17-704
Theft from Motor Vehicle,10000 150TH ST,1,2017,17-1090
Theft from Motor Vehicle,14500 68TH AVE,1,2017,17-946
Theft from Motor Vehicle,14300 82ND AVE,1,2017,17-956
Theft from Motor Vehicle,15300 102A AVE,1,2017,17-1864
Theft from Motor Vehicle,14600 68TH AVE,1,2017,17-900
Theft from Motor Vehicle,7500 127TH ST,1,2017,17-1776
Theft of Motor Vehicle,8200 KING GEORGE BLVD,1,2017,17-509
Theft of Motor Vehicle,6300 180TH ST,1,2017,17-905
Theft of Motor Vehicle,192A ST / 73RD AVE,1,2017,17-888
Theft of Motor Vehicle,14100 90TH AVE,1,2017,17-728
Theft of Motor Vehicle,8900 150A ST,1,2017,17-883
Theft from Motor Vehicle,15400 FRASER HWY,1,2017,17-652
Break and Enter - Residence,11200 135A ST,1,2017,17-1541
Break and Enter - Business,10400 144TH ST,1,2017,17-473
Break and Enter - Business,16000 108TH AVE,1,2017,17-484
Break and Enter - Residence,14700 76TH AVE,1,2017,17-507
Break and Enter - Residence,10000 129TH ST,1,2017,17-667
Fatal/Injury Collision,UNIVERSITY DR / GATEWAY DR,1,2017,17-2272
Fatal/Injury Collision,136TH ST / 60TH AVE,1,2017,17-897
Fatal/Injury Collision,136TH ST / 60TH AVE,1,2017,17-897
Fatal/Injury Collision,132ND ST / KING GEORGE BLVD,1,2017,17-904
Fatal/Injury Collision,176TH ST / FRASER HWY,1,2017,17-950
Fatal/Injury Collision,14600 104TH AVE,1,2017,17-1024
Fatal/Injury Collision,160TH ST / 84TH AVE,1,2017,17-986
Fatal/Injury Collision,54A AVE / 152ND ST,1,2017,17-1005
Fatal/Injury Collision,105A AVE / UNIVERSITY DR,1,2017,17-1052
Fatal/Injury Collision,8800 126TH ST,1,2017,17-1108
Fatal/Injury Collision,12400 73A AVE,1,2017,17-1104
Fatal/Injury Collision,194A ST / 73RD AVE,1,2017,17-1112
Fatal/Injury Collision,KING GEORGE BLVD / 94A AVE,1,2017,17-1120
Fatal/Injury Collision,102A AVE / 149A ST,1,2017,17-1147
Fatal/Injury Collision,FRASER HWY / 162ND ST,1,2017,17-1181
Fatal/Injury Collision,156TH ST / 24TH AVE,1,2017,17-1189
Fatal/Injury Collision,12200 KING GEORGE BLVD,1,2017,17-1206
Shoplifting,12000 NORDEL WAY,1,2017,17-913
Shoplifting,7500 KING GEORGE BLVD,1,2017,17-1029
Shoplifting,10300 152ND ST,1,2017,17-1119
Shoplifting,8900 152ND ST,1,2017,17-1264
Theft from Motor Vehicle,8700 154B ST,1,2017,17-1892
Theft from Motor Vehicle,5900 176TH ST,1,2017,17-1060
Theft from Motor Vehicle,15400 22ND AVE,1,2017,17-851
Theft from Motor Vehicle,300 175A ST,1,2017,17-885
Theft from Motor Vehicle,2900 KING GEORGE BLVD,1,2017,17-1115
Theft from Motor Vehicle,2800 130TH ST,1,2017,17-1966
Theft from Motor Vehicle,6900 151A ST,1,2017,17-1379
Theft from Motor Vehicle,14300 103RD AVE,1,2017,17-1092
Theft from Motor Vehicle,15100 36TH AVE,1,2017,17-1394
Theft from Motor Vehicle,8100 152ND ST,1,2017,17-1326
Theft from Motor Vehicle,15900 86A AVE,1,2017,17-1355
Theft from Motor Vehicle,9500 160TH ST,1,2017,17-1664
Theft from Motor Vehicle,14400 104A AVE,1,2017,17-1325
Theft from Motor Vehicle,16400 64TH AVE,1,2017,17-1333
Theft from Motor Vehicle,12600 54TH AVE,1,2017,17-1756
Theft from Motor Vehicle,64TH AVE / 184TH ST,1,2017,17-1321
Theft from Motor Vehicle,15300 101A AVE,1,2017,17-1256
Theft from Motor Vehicle,8600 154B ST,1,2017,17-1469
Theft of Motor Vehicle,17700 97TH AVE,1,2017,17-1819
Theft of Motor Vehicle,2700 MCBRIDE AVE,1,2017,17-859
Theft of Motor Vehicle,7500 134A ST,1,2017,17-880
Theft of Motor Vehicle,2300 160TH ST,1,2017,17-995
Theft of Motor Vehicle,13400 72ND AVE,1,2017,17-919
Theft of Motor Vehicle,12700 102ND AVE,1,2017,17-1048
Theft of Motor Vehicle,11500 ROXBURGH RD,1,2017,17-1295
Theft of Motor Vehicle,2500 KING GEORGE BLVD,1,2017,17-1127
Theft of Motor Vehicle,10700 150TH ST,1,2017,17-1166
Theft of Motor Vehicle,12500 110TH AVE,1,2017,17-1183
Break and Enter - Business,13300 104TH AVE,1,2017,17-1974
Break and Enter - Business,15200 CROYDON DR,1,2017,17-911
Break and Enter - Residence,11200 135A ST,1,2017,17-1091
Break and Enter - Business,5800 152ND ST,1,2017,17-964
Break and Enter - Residence,7700 124TH ST,1,2017,17-1045
Break and Enter - Residence,7700 124TH ST,1,2017,17-1118
Break and Enter - Residence,13000 103RD AVE,1,2017,17-1025
Break and Enter - Residence,14500 59A AVE,1,2017,17-1088
Break and Enter - Residence,6000 180TH ST,1,2017,17-1650
Fatal/Injury Collision,108TH AVE / 157TH ST,1,2017,17-1371
Fatal/Injury Collision,15000 ROBIN CRES,1,2017,17-3224
Fatal/Injury Collision,133A ST / 95A AVE,1,2017,17-1436
Fatal/Injury Collision,168TH ST / 20TH AVE,1,2017,17-1487
Fatal/Injury Collision,UNIVERSITY DR / 105A AVE,1,2017,17-1517
Fatal/Injury Collision,WHALLEY BLVD / 104TH AVE,1,2017,17-1518
Fatal/Injury Collision,134TH ST / 68TH AVE,1,2017,17-1554
Fatal/Injury Collision,7200 128TH ST,1,2017,17-1555
Fatal/Injury Collision,14300 91ST AVE,1,2017,17-1565
Fatal/Injury Collision,KING GEORGE BLVD / 108TH AVE,1,2017,17-1564
Fatal/Injury Collision,76TH AVE / 128TH ST,1,2017,17-1573
Fatal/Injury Collision,64TH AVE / KING GEORGE BLVD,1,2017,17-1575
Fatal/Injury Collision,11300 ROYAL CRES,1,2017,17-1877
Fatal/Injury Collision,152ND ST / 86TH AVE,1,2017,17-1597
Fatal/Injury Collision,7700 132ND ST,1,2017,17-1600
Fatal/Injury Collision,9800 WHALLEY BLVD,1,2017,17-1653
Fatal/Injury Collision,12500 OLD YALE RD,1,2017,17-1658
Fatal/Injury Collision,160TH ST / 104TH AVE,1,2017,17-1676
Shoplifting,10300 152ND ST,1,2017,17-1393
Shoplifting,14600 104TH AVE,1,2017,17-1426
Shoplifting,10300 KING GEORGE BLVD,1,2017,17-1429
Shoplifting,12800 16TH AVE,1,2017,17-1446
Shoplifting,7500 KING GEORGE BLVD,1,2017,17-1449
Shoplifting,1600 152ND ST,1,2017,17-1548
Shoplifting,10100 KING GEORGE BLVD,1,2017,17-1582
Shoplifting,14600 104TH AVE,1,2017,17-1586
Shoplifting,10700 KING GEORGE BLVD,1,2017,17-1601
Theft from Motor Vehicle,1300 160A ST,1,2017,17-2382
Theft from Motor Vehicle,17200 64TH AVE,1,2017,17-5084
Theft from Motor Vehicle,10600 125A ST,1,2017,17-7705
Theft from Motor Vehicle,15900 86A AVE,1,2017,17-1320
Theft from Motor Vehicle,13600 102ND AVE,1,2017,17-1366
Theft from Motor Vehicle,12200 99A AVE,1,2017,17-1524
Theft from Motor Vehicle,3200 KING GEORGE BLVD,1,2017,17-1566
Theft from Motor Vehicle,13600 64A AVE,1,2017,17-1494
Theft from Motor Vehicle,14100 62A AVE,1,2017,17-1504
Theft from Motor Vehicle,8200 161ST ST,1,2017,17-1751
Theft from Motor Vehicle,19300 LANGLEY BPS,1,2017,17-1607
Theft from Motor Vehicle,10500 ARBUTUS WYND,1,2017,17-1794
Theft from Motor Vehicle,9400 132A ST,1,2017,17-1730
Theft from Motor Vehicle,8400 VENTURE WAY,1,2017,17-1865
Theft from Motor Vehicle,9300 163RD ST,1,2017,17-1634
Theft from Motor Vehicle,16000 82ND AVE,1,2017,17-1829
Theft from Motor Vehicle,19500 LANGLEY BPS,1,2017,17-1627
Theft from Motor Vehicle,8400 VENTURE WAY,1,2017,17-1767
Theft from Motor Vehicle,17700 97TH AVE,1,2017,17-1817
Theft from Motor Vehicle,15800 84TH AVE,1,2017,17-1761
Theft of Motor Vehicle,13600 BENTLEY RD,1,2017,17-1315
Theft of Motor Vehicle,9800 KING GEORGE BLVD,1,2017,17-1433
Theft of Motor Vehicle,12600 82ND AVE,1,2017,17-1523
Theft of Motor Vehicle,18600 52ND AVE,1,2017,17-1374
Theft of Motor Vehicle,11000 131A ST,1,2017,17-1389
Theft of Motor Vehicle,13400 KING GEORGE BLVD,1,2017,17-1397
Theft of Motor Vehicle,15200 GUILDFORD DR,1,2017,17-1406
Theft of Motor Vehicle,13700 58A AVE,1,2017,17-1420
Theft of Motor Vehicle,10900 128A ST,1,2017,17-3236
Theft of Motor Vehicle,13300 102A AVE,1,2017,17-1616
Theft of Motor Vehicle,12300 114TH AVE,1,2017,17-1684
Break and Enter - Residence,6400 184A ST,1,2017,17-1644
Break and Enter - Residence,16300 18TH AVE,1,2017,17-1544
Break and Enter - Residence,15400 96TH AVE,1,2017,17-1418
Break and Enter - Residence,13400 95TH AVE,1,2017,17-1473
Break and Enter - Residence,18400 63A AVE,1,2017,17-1539
Break and Enter - Business,15500 26TH AVE,1,2017,17-1933
Break and Enter - Business,1800 LILAC DR,1,2017,17-2585
Theft from Motor Vehicle,999900 UNKNOWN,1,2017,17-1450
Fatal/Injury Collision,80TH AVE / 124TH ST,1,2017,17-1701
Fatal/Injury Collision,9400 122ND ST,1,2017,17-1763
Fatal/Injury Collision,58TH AVE / 132ND ST,1,2017,17-1777
Fatal/Injury Collision,17400 ABBEY DR,1,2017,17-1792
Fatal/Injury Collision,17400 ABBEY DR,1,2017,17-1792
Fatal/Injury Collision,140TH ST / 96TH AVE,1,2017,17-1835
Fatal/Injury Collision,17TH AVE / 154TH ST,1,2017,17-1845
Fatal/Injury Collision,16TH AVE / MARTIN DR,1,2017,17-1856
Fatal/Injury Collision,152ND ST / 91ST AVE,1,2017,17-1878
Fatal/Injury Collision,FRASER HWY / 156TH ST,1,2017,17-1910
Fatal/Injury Collision,152ND ST / 88TH AVE,1,2017,17-1920
Fatal/Injury Collision,102ND AVE / 128TH ST,1,2017,17-1947
Fatal/Injury Collision,126TH ST / 68A AVE,1,2017,17-1960
Fatal/Injury Collision,13300 76TH AVE,1,2017,17-1971
Fatal/Injury Collision,75TH AVE / 121A ST,1,2017,17-1988
Fatal/Injury Collision,10400 152ND ST,1,2017,17-1990
Fatal/Injury Collision,KING GEORGE BLVD / 132ND ST,1,2017,17-1994
Fatal/Injury Collision,188TH ST / 56TH AVE,1,2017,17-2000
Fatal/Injury Collision,99TH AVE / 128TH ST,1,2017,17-2036
Fatal/Injury Collision,16400 BLOCK 16TH AVE,1,2017,17-2044
Fatal/Injury Collision,104TH AVE / HWY 17,1,2017,17-2046
Fatal/Injury Collision,152ND ST / GUILDFORD DR,1,2017,17-2059
Fatal/Injury Collision,157TH ST / 99TH AVE,1,2017,17-2074
Fatal/Injury Collision,154TH ST / GUILDFORD DR,1,2017,17-2079
Fatal/Injury Collision,62ND AVE / 128TH ST,1,2017,17-2090
Fatal/Injury Collision,128TH ST / 60TH AVE,1,2017,17-2116
Fatal/Injury Collision,128TH ST / 60TH AVE,1,2017,17-2116
Shoplifting,10100 KING GEORGE BLVD,1,2017,17-1880
Shoplifting,10700 KING GEORGE BLVD,1,2017,17-1961
Shoplifting,12100 72ND AVE,1,2017,17-1972
Shoplifting,10300 KING GEORGE BLVD,1,2017,17-1980
Shoplifting,10100 KING GEORGE BLVD,1,2017,17-2015
Shoplifting,10100 KING GEORGE BLVD,1,2017,17-2026
Theft from Motor Vehicle,10200 133RD ST,1,2017,17-1743
Theft from Motor Vehicle,13500 88TH AVE,1,2017,17-1866
Theft from Motor Vehicle,7100 138TH ST,1,2017,17-1889
Theft from Motor Vehicle,12700 72ND AVE,1,2017,17-1924
Theft from Motor Vehicle,10500 ARBUTUS WYND,1,2017,17-2689
Theft from Motor Vehicle,5900 186A ST,1,2017,17-3130
Theft from Motor Vehicle,12900 101ST AVE,1,2017,17-10477
Theft from Motor Vehicle,16000 82ND AVE,1,2017,17-1841
Theft from Motor Vehicle,15700 CROYDON DR,1,2017,17-1765
Theft from Motor Vehicle,107A AVE / UNIVERSITY DR,1,2017,17-1795
Theft from Motor Vehicle,18500 65TH AVE,1,2017,17-1780
Theft from Motor Vehicle,13000 100TH AVE,1,2017,17-2345
Theft from Motor Vehicle,5600 125TH ST,1,2017,17-1906
Theft from Motor Vehicle,8900 154TH ST,1,2017,17-1902
Theft from Motor Vehicle,152ND ST / 68TH AVE,1,2017,17-1937
Theft from Motor Vehicle,10300 156TH ST,1,2017,17-1939
Theft from Motor Vehicle,11100 124TH ST,1,2017,17-1989
Theft from Motor Vehicle,8700 152ND ST,1,2017,17-2250
Theft from Motor Vehicle,7400 122A ST,1,2017,17-2193
Theft from Motor Vehicle,16000 14TH AVE,1,2017,17-2234
Theft from Motor Vehicle,18900 34A AVE,1,2017,17-3550
Theft from Motor Vehicle,18900 96TH AVE,1,2017,17-10045
Theft from Motor Vehicle,13800 100TH AVE,1,2017,17-2385
Theft of Motor Vehicle,1100 176TH ST,1,2017,17-1793
Theft of Motor Vehicle,13900 108TH AVE,1,2017,17-1930
Theft of Motor Vehicle,6100 180TH ST,1,2017,17-1861
Theft of Motor Vehicle,17400 ABBEY DR,1,2017,17-1757
Theft of Motor Vehicle,6300 181A ST,1,2017,17-1816
Theft of Motor Vehicle,13500 106TH AVE,1,2017,17-1827
Theft of Motor Vehicle,16000 FRASER HWY,1,2017,17-2301
Theft of Motor Vehicle,14900 105TH AVE,1,2017,17-2754
Theft of Motor Vehicle,13400 98TH AVE,1,2017,17-2374
Theft of Motor Vehicle,12600 72ND AVE,1,2017,17-2238
Theft of Motor Vehicle,13300 OLD YALE RD,1,2017,17-2110
Break and Enter - Residence,19000 72ND AVE,1,2017,17-1724
Break and Enter - Business,7100 138TH ST,1,2017,17-1725
Break and Enter - Residence,15400 KILDARE DR,1,2017,17-1734
Break and Enter - Business,10400 WHALLEY BLVD,1,2017,17-1735
Break and Enter - Residence,12500 28TH AVE,1,2017,17-1963
Break and Enter - Residence,17400 ABBEY DR,1,2017,17-1757
Break and Enter - Residence,13100 CRESCENT RD,1,2017,17-2065
Break and Enter - Residence,11200 LANSDOWNE DR,1,2017,17-1901
Break and Enter - Business,15200 18TH AVE,1,2017,17-2228
Break and Enter - Residence,13400 KING GEORGE BLVD,1,2017,17-2207
Break and Enter - Residence,14200 72A AVE,1,2017,17-1982
Break and Enter - Residence,5800 144TH ST,1,2017,17-3549
Fatal/Injury Collision,166TH ST / 62A AVE,1,2017,17-2183
Fatal/Injury Collision,56A AVE / 136B ST,1,2017,17-2280
Fatal/Injury Collision,14700 84TH AVE,1,2017,17-2284
Fatal/Injury Collision,128TH ST / 78TH AVE,1,2017,17-2768
Fatal/Injury Collision,168TH ST / 78TH AVE,1,2017,17-2865
Fatal/Injury Collision,8200 BLOCK 122A ST,1,2017,17-3445
Fatal/Injury Collision,148TH ST / 56TH AVE,1,2017,17-2422
Fatal/Injury Collision,12400 82ND AVE,1,2017,17-2426
Fatal/Injury Collision,123A ST / 96TH AVE,1,2017,17-2433
Fatal/Injury Collision,15300 FRASER HWY,1,2017,17-2435
Fatal/Injury Collision,140TH ST / 78TH AVE,1,2017,17-2449
Fatal/Injury Collision,192ND ST / 60TH AVE,1,2017,17-2608
Shoplifting,10100 KING GEORGE BLVD,1,2017,17-2243
Shoplifting,12100 NORDEL WAY,1,2017,17-2304
Shoplifting,8900 152ND ST,1,2017,17-2339
Shoplifting,8900 152ND ST,1,2017,17-2352
Shoplifting,10300 152ND ST,1,2017,17-2444
Theft from Motor Vehicle,7100 132ND ST,1,2017,17-2203
Theft from Motor Vehicle,15300 102A AVE,1,2017,17-2239
Theft from Motor Vehicle,14500 17TH AVE,1,2017,17-2438
Theft from Motor Vehicle,14300 82ND AVE,1,2017,17-3127
Theft from Motor Vehicle,8900 145A ST,1,2017,17-3148
Theft from Motor Vehicle,17400 58TH AVE,1,2017,17-3914
Theft from Motor Vehicle,16000 82ND AVE,1,2017,17-2297
Theft from Motor Vehicle,3300 151ST ST,1,2017,17-2188
Theft from Motor Vehicle,9800 KING GEORGE BLVD,1,2017,17-3502
Theft from Motor Vehicle,8400 154B ST,1,2017,17-2263
Theft from Motor Vehicle,3700 NICO WYND DR,1,2017,17-2273
Theft from Motor Vehicle,6500 148A ST,1,2017,17-2286
Theft from Motor Vehicle,14600 20TH AVE,1,2017,17-2290
Theft from Motor Vehicle,2600 MCBRIDE AVE,1,2017,17-2294
Theft from Motor Vehicle,10100 141ST ST,1,2017,17-2802
Theft from Motor Vehicle,7400 121A ST,1,2017,17-2362
Theft from Motor Vehicle,14800 17TH AVE,1,2017,17-2372
Theft from Motor Vehicle,12300 82A AVE,1,2017,17-2428
Theft from Motor Vehicle,17200 59A AVE,1,2017,17-2469
Theft from Motor Vehicle,14100 75A AVE,1,2017,17-2521
Theft from Motor Vehicle,5400 185TH ST,1,2017,17-4132
Theft from Motor Vehicle,7600 147A ST,1,2017,17-2706
Theft from Motor Vehicle,9300 133A ST,1,2017,17-3242
Theft of Motor Vehicle,15200 84A AVE,1,2017,17-8686
Theft of Motor Vehicle,10600 151A ST,1,2017,17-2233
Theft of Motor Vehicle,13400 67TH AVE,1,2017,17-2247
Theft of Motor Vehicle,16000 82ND AVE,1,2017,17-2714
Theft of Motor Vehicle,13300 105TH AVE,1,2017,17-2680
Theft of Motor Vehicle,13400 59B AVE,1,2017,17-2684
Theft of Motor Vehicle,64TH AVE / 176TH ST,1,2017,17-2609
Theft of Motor Vehicle,9400 KING GEORGE BLVD,1,2017,17-2489
Theft of Motor Vehicle,9000 123RD ST,1,2017,17-2692
Theft of Motor Vehicle,15400 110A AVE,1,2017,17-2830
Theft of Motor Vehicle,9800 132A ST,1,2017,17-2698
Theft of Motor Vehicle,10200 128A ST,1,2017,17-2683
Theft of Motor Vehicle,12500 113B AVE,1,2017,17-2614
Break and Enter - Business,15100 FRASER HWY,1,2017,17-2169
Break and Enter - Business,7900 KING GEORGE BLVD,1,2017,17-2170
Break and Enter - Business,3300 151ST ST,1,2017,17-2188
Break and Enter - Business,9700 176TH ST,1,2017,17-2281
Break and Enter - Residence,14600 76TH AVE,1,2017,17-3157
Break and Enter - Residence,15900 FRASER HWY,1,2017,17-3451
Break and Enter - Residence,14100 GLADSTONE DR,1,2017,17-2401
Break and Enter - Business,13300 105TH AVE,1,2017,17-2680
Break and Enter - Residence,11200 150TH ST,1,2017,17-2566
Break and Enter - Residence,11400 124TH ST,1,2017,17-2775
Break and Enter - Residence,14800 89TH AVE,1,2017,17-2561
Graffiti,14938 34B AVE,1,2017,18477344
Fatal/Injury Collision,160TH ST / 88TH AVE,1,2017,17-2711
Fatal/Injury Collision,160TH ST / 56TH AVE,1,2017,17-2771
Fatal/Injury Collision,12100 NORDEL WAY,1,2017,17-2811
Fatal/Injury Collision,130TH ST / HWY 17,1,2017,17-2815
Fatal/Injury Collision,108TH AVE / UNIVERSITY DR,1,2017,17-2829
Fatal/Injury Collision,HWY 17 / 176TH ST,1,2017,17-2845
Fatal/Injury Collision,24TH AVE / 148TH ST,1,2017,17-2859
Fatal/Injury Collision,12500 110TH AVE,1,2017,17-2899
Fatal/Injury Collision,88TH AVE / HARVIE RD,1,2017,17-2916
Fatal/Injury Collision,72ND AVE / 124TH ST,1,2017,17-3032
Shoplifting,1700 152ND ST,1,2017,17-2783
Shoplifting,1700 152ND ST,1,2017,17-4072
Shoplifting,14400 108TH AVE,1,2017,17-2813
Shoplifting,7500 KING GEORGE BLVD,1,2017,17-2820
Shoplifting,10100 KING GEORGE BLVD,1,2017,17-2832
Shoplifting,2500 160TH ST,1,2017,17-2868
Shoplifting,12400 88TH AVE,1,2017,17-2929
Theft from Motor Vehicle,16800 79TH AVE,1,2017,17-3697
Theft from Motor Vehicle,6700 148A ST,1,2017,17-2727
Theft from Motor Vehicle,18500 53RD AVE,1,2017,17-2722
Theft from Motor Vehicle,13300 105TH AVE,1,2017,17-300013
Theft from Motor Vehicle,10100 172ND ST,1,2017,17-2838
Theft from Motor Vehicle,10600 158TH ST,1,2017,17-3131
Theft from Motor Vehicle,10600 158TH ST,1,2017,17-3132
Theft from Motor Vehicle,12200 100A AVE,1,2017,17-3006
Theft from Motor Vehicle,13700 62A AVE,1,2017,17-3216
Theft from Motor Vehicle,61ST AVE / 167A ST,1,2017,17-3223
Theft from Motor Vehicle,12000 76TH AVE,1,2017,17-3106
Theft from Motor Vehicle,14200 91ST AVE,1,2017,17-3134
Theft from Motor Vehicle,5600 185TH ST,1,2017,17-3091
Theft from Motor Vehicle,12500 91ST AVE,1,2017,17-3777
Theft from Motor Vehicle,14800 68TH AVE,1,2017,17-3067
Theft from Motor Vehicle,12100 76A AVE,1,2017,17-3156
Theft from Motor Vehicle,19100 WATKINS DR,1,2017,17-3021
Theft of Motor Vehicle,120A ST / 80TH AVE,1,2017,17-2837
Theft of Motor Vehicle,9700 157TH ST,1,2017,17-2881
Theft of Motor Vehicle,7800 147A ST,1,2017,17-2895
Theft of Motor Vehicle,10400 152ND ST,1,2017,17-2939
Break and Enter - Business,10200 153RD ST,1,2017,17-2678
Break and Enter - Residence,14900 71A AVE,1,2017,17-2747
Break and Enter - Business,10600 151A ST,1,2017,17-3695
Break and Enter - Residence,10800 133A ST,1,2017,17-3187
